nama_workcenter,nama_detail,nama_dept,nomor_wo_repair,level_wo,level_urgency,estimasi,Requestor,status_wo,waktu_kerusakan_mesin,waktu_pengajuan_servis,nama_kerusakan,deskripsi_bebas,jenis_failure,penyebab_masalah,penyelesaian,saran,waktu_mulai,waktu_selesai,catatan_perlu_pmt,catatan,waktu_reject_wo,ditolak_oleh
Fillpack B,Filling 5 Line F5L1003,PRB,AC1845-0268,menghambat,Emergency,1 Hari,M arief lukman,done,11/9/2018 3:11:00 PM,11/9/2018 3:12:00 PM,SEALING JAW ERROR,line 3 kurang ngepress,Pengoperasian tidak normal,settingan baut L4 tidak oke,cek kondisi mesin>> setting baut l4 sampai oke>> sambil sesekali dicoba>> setting juga home spring sampai oke,-,11/9/2018 3:30:00 PM,11/9/2018 4:30:00 PM,,,,
Fillpack B,Filling 5 Line F5L1003,PRB,AC1846-0001,menghambat,Emergency,1 Hari,M arief lukman,done,11/12/2018 6:30:00 AM,11/12/2018 6:41:00 AM,SARINGAN PRODUK RUSAK,Saringan patah (harus di las),Part rusak,"gagang saringan patah, kemungkinan tidak kuat menahan beban produk","las gagang saringan > rapihkan dan bersihkan hasil lasan > OK
",-,11/12/2018 8:15:00 AM,11/12/2018 9:15:00 AM,,,,
Fillpack B,Carton sealer CSL1023,PRB,AC1919-0075,menghambat,Emergency,1 Hari,M arief lukman,done,5/8/2019 6:50:00 AM,5/8/2019 6:51:00 AM,Motor mesin mati,Mohon di cek,Part rusak,motor rusak,coba test running >> belt bawah tidak running >> coba putar manual belt >> putaran berat >> buka rantai belt bawah >> putar manual >> ringan >> cek motor >> motor overheat >> cek putaran motor > macet > dinginkan motor teru bongkar motor >> bongkar reducer motor >> putar manual reducer >> ringan >> putar motor >> macet >> cari motor bestpack di ex parkir >> lepas motor bestpack >> lengkapi terminal wiring motor karena tidak ada >> wiring motor >> tes tanpa beban > ok > pasang motor > posisi gear pada reducer tidak sesuai > bongkar reducer > reposisi gear > pasang motor > belt bagian atas dan bawah sudah aus > bongkar belt bawah > gantii belt bawah 2 pcs > bongkar belt bagian atas > ganti belt atas 2 pcs > kencangkan baud baud pada bestpack > tes run > putaran motor bawah terbalik > wiring ulang motor > test > ok,-,5/8/2019 8:45:00 AM,5/8/2019 12:30:00 PM,,,,
Fillpack B,Cartoning CRT1010,PRB,AC1913-0138,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,3/28/2019 7:06:00 AM,3/28/2019 7:06:00 AM,hitachi,Hitachi Error,Pengoperasian tidak normal,no ink drop charge,fault no ink drop charge>>setting parameter voltage nozzle>>setting beberapa kali>>test run>>ok ,-,3/28/2019 7:30:00 AM,3/28/2019 8:00:00 AM,,,,
Fillpack B,Filling 5 Line F5L1003,PRB,AC1908-0005,menghambat,Emergency,1 Hari,M arief lukman,done,2/19/2019 8:24:00 AM,2/19/2019 8:25:00 AM,SEALING JAW ERROR,MOHON DI CEK ,Pengoperasian tidak normal,-,gerakan jaws #OK >> setting parameter sealing jaws >> test run >> gerakan jaws ok >> test sachet kosong >> test bocor >> OK >> test dengan produk >> saat jalan beberapa cycle OK >> tidak lama trapping lagi di line 1 dan 2 >> setting dose timming >> test run >> masih trapping di line 1 dan 2 >> setting dose timing beberapa kali >> masih belum OK >> turunkan dosser >> cek kerapatan cup >> setting cup >> psang kembali dosser >> test run >> masih trapping di line 1 dan 2 >> lanjut shift berikut,-,2/19/2019 6:45:00 AM,2/19/2019 2:00:00 PM,,,,
Fillpack B,Cartoning CRT1011,PRB,AC1842-0108,menghambat,Emergency,1 Hari,Pratiknyo,done,10/17/2018 3:34:00 PM,10/17/2018 3:34:00 PM,Ganti bearing,Bearing meja leveler hilang 1,Part rusak,umur pakai,ganti bearing pada meja leveler oleh OP > OK,-,10/17/2018 3:15:00 PM,10/17/2018 3:30:00 PM,,,,
Fillpack B,Continuous Sealer TSL1008,,AC1918-0092,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,5/2/2019 7:38:00 AM,5/2/2019 7:39:00 AM,hand sealer tidak panas,Hasil Bocor karna panas tidak maksimal,Misalignment,kabel heater tidak tekoneksi dengan baik,wiring ulang kabel heater >> OK,-,5/2/2019 7:45:00 AM,5/2/2019 9:15:00 AM,,,,
Fillpack B,Filling 5 Line F5L1003,PRB,AC1908-0112,menghambat,Emergency,1 Hari,Sugiyono NSI,done,2/21/2019 8:50:00 AM,2/21/2019 8:51:00 AM,SEALING JAW ERROR,Sealing jaw terlalu Nekan,Pengoperasian tidak normal,putaran jaws berat,setting pressan jaws >> test run >> putaran masih berat >> setting baut L4 >> test run >> putaran sudah tidak berat >> homing posisi sealing jaws >> test run >> gerakan jaws sudah ok >> test sachet kosong >> setting pressan >> test kebocoran >> OK >> test produk isi >> test kebocoran >> line 1 dan 2 bocor >> setting dose timing >> line 1dan 2 masih bocor >> setting cup (rapatkan cup dosser) >> test run >> setting dose timing >> OK,-,2/21/2019 9:15:00 AM,2/21/2019 2:00:00 PM,,,,
Fillpack B,Empty Box ETB1006,PRB,AC1901-0195,menghambat,Emergency,1 Hari,Sugiyono NSI,done,1/5/2019 3:17:00 PM,1/5/2019 3:27:00 PM,Flap stopper tidak jalan,Flap stopper buka tutup tidak sempurna,Pengoperasian tidak normal,flap mati dan bukaan flap tidak pas,setting flap>> setting angin>> setting kemiringan  cylinder flap>> setting beberapa kali>> check ada kabel lepas sehingga flap mati>> pasang >> ok,-,1/5/2019 3:30:00 PM,1/5/2019 4:15:00 PM,,,,
Fillpack B,Empty Box ETB1006,PRB,AC1902-0116,menghambat,Emergency,1 Hari,M arief lukman,done,1/14/2019 4:21:00 PM,1/14/2019 4:22:00 PM,EMPTY BOX ERROR,MACET ,Pengoperasian tidak normal,posisi plat buka tutup tidak OK,"setting angin pada cylinder plat buka tutup beberapa kali >> OK, setting posisi plat buka tutup >> OK
",-,1/14/2019 4:30:00 PM,1/14/2019 5:30:00 PM,,,,
Fillpack B,Filling 5 Line F5L1003,PRB,AC1915-0017,menghambat,Emergency,1 Hari,Sugiyono NSI,done,4/9/2019 4:37:00 PM,4/9/2019 4:37:00 PM,strip cutting eror,"Pisau Strip cutting TUMPUL tidak motong
- Minta tolong diganti",Part rusak,pisau tumpul,"cek, pisau tumpul >> pada saat akan dibalikan >> semua sisi sudah digunakan >> lepas pisau >> ganti dengan yang baru >> pasang >> setting ulang pisau dan bantalan >> test >> ok
",-,4/9/2019 5:00:00 PM,4/9/2019 5:30:00 PM,,,,
Fillpack B,Filling 5 Line F5L1003,PRB,AC1841-0267,menghambat,Emergency,1 Hari,M arief lukman,done,10/11/2018 6:49:00 PM,10/11/2018 6:50:00 PM,strip cutting eror,STRIP CUTTING LONCAT-LONCAT,Pengoperasian tidak normal,strip cutting eror,cek bagian mekanik>> kencangkan baut motor>> cek poto cell>> ganti dengan poto cell baru>> coba setting setting>> ok,-,10/11/2018 7:00:00 PM,10/11/2018 9:45:00 PM,,,,
Fillpack B,Filling 6 Line F6L1001,PRB,AC1848-0065,menghambat,Emergency,1 Hari,Purwanti,done,11/28/2018 8:41:00 AM,11/28/2018 8:41:00 AM,sliiter,Slitter line 3-4 tumpul,Part rusak,slitter rusak,"bongkar bantalan slitter > bersihkan bantalan slitter > buka pisau slitter > ganti 1 pc slitter line 4-5 > pasang > test > slitter kurang geser  > geserkan pisau slitter > test ok, bongkar guide penahan shaft openhere > sejajarkan posisi bearing > pasang kembali > ok",-,11/28/2018 8:45:00 AM,11/28/2018 9:45:00 AM,,,,
Fillpack B,Filling 6 Line F6L1001,PRB,AC1903-0252,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,1/21/2019 7:23:00 PM,1/21/2019 7:23:00 PM,Air Lack,Compressed Air Lack,Pengoperasian tidak normal,settingan angin tidak ok,"coba reset mesin >> tidak ok >> tutup jalur angin dari regulator >> buka kembali >> reset mesin >> ok, test running >> ok, tidak lama compress air lack kembali >> setting pressure switch >> test + pantau >> ok
",-,1/21/2019 7:30:00 PM,1/21/2019 8:00:00 PM,,,,
Fillpack B,Filling 6 Line F6L1002,PRB,AC1847-0166,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,11/23/2018 8:41:00 AM,11/23/2018 8:41:00 AM,TRAPPING,Line 1 Trapping,Misalignment,dose timing tidak pas,setting pressan sealing jaws >> masih belum ok >> setting parameter dose timing beberapa kali >> test >> pantau running mesin >> ok,-,11/23/2018 9:00:00 AM,11/23/2018 10:00:00 AM,,,,
Fillpack B,Filling 6 Line F6L1001,PRB,AC1902-0052,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,1/9/2019 4:43:00 PM,1/9/2019 4:43:00 PM,Conveyor,Kabel sensor conveyor terkelupas,Part rusak,"posisi kabel #OK, sehingga terkelupas
","cek sensor, kabel nya terkepulas > cek fungsi sensor, masih OK > gunting bagian yang terkelupas > sambung kembali kabel sensor > pasang sensor pada dudukan sensor > setting posisi sensor > test run  dengan sachet > OK
",-,1/9/2019 4:45:00 PM,1/9/2019 5:30:00 PM,,,,
Fillpack B,Filling 6 Line F6L1002,PRB,AC1912-0150,menghambat,Emergency,1 Hari,Purwanti,done,3/21/2019 7:55:00 AM,3/21/2019 7:56:00 AM,Jaw,Temperatur sealing jaw tidak stabil,Part rusak,heater tidak ok,"cek, kabel termocouple lepas >> pasang kembali  kabel >> tunggu suhu naik >> suhu mentok tidak mencapai set value >> tunggu suhu turun >> lepas wiring heater dan termocouple >> ganti heater termcouple >> pang >> wiring ulang heater termocouple >> tunggu suhu naik >> test >> ok",-,3/21/2019 7:30:00 AM,3/21/2019 12:30:00 PM,,,,
Fillpack B,Filling 6 Line F6L1002,PRB,AC1920-0003,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,5/14/2019 7:23:00 AM,5/14/2019 7:23:00 AM,Jaw,Line 5 Trapping,Pengoperasian tidak normal,cup doser bocor,"test sachet kosong >> hasil OK, test menggunakan produk >> hasil tidak OK >> cek suhu menggunakan thermohunter >> OK, setting pressan sealer beberapa kali >> masih belum OK >> repair cup doser >> pasang kembali >> test run >> OK",-,5/14/2019 12:30:00 PM,5/14/2019 1:45:00 PM,,,,
Fillpack B,Filling 6 Line F6L1003,PRB,AC1840-0271,menghambat,Emergency,1 Hari,Okta Fajarsyah,done,10/5/2018 7:42:00 PM,10/5/2018 7:42:00 PM,heater crossbar trouble,Ganti Thermocouple,Part rusak,"thermocouple rusak, part baru datang","lepas pressan roller crossbar > ganti ring bushing roller dengan yang baru > ganti nipple grease dengan yang baru (karena rusak, bekas dipukulin > rakit unit > pasang pada mesin > 
",-,10/4/2018 6:00:00 PM,10/4/2018 7:15:00 PM,,,,
Fillpack B,Filling 6 Line F6L1003,PRB,AC1844-0241,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,11/2/2018 9:29:00 AM,11/2/2018 9:30:00 AM,Jaws trouble,Pressing jaws line 6 longgar,Part rusak,adanya getaran berlebih,cek roller bearing presan jaws line 6>> ada baut yang patah>> lepas baut yang patah menggunakan tang press>> ganti dengan baut baru>> coba pasangkan kembali>> masih goyang>> buka lagi cek kondisi rollnya>> ada roll roll yang agak macet>> coba bersihkan pinggirnya yang membuat macet>> putaran udah lancar>> coba pasangkan kembali>> masih goyang>> tukar dengan roll sebelah line 1 yang ada 4 baut>> pasangkan>> test>> pantau>> oke,-,11/2/2018 9:30:00 AM,11/2/2018 11:15:00 AM,,,,
Fillpack B,Filling 6 Line F6L1003,PRB,AC1902-0021,menghambat,Emergency,1 Hari,Pratiknyo,done,1/8/2019 2:41:00 PM,1/8/2019 2:42:00 PM,moving head,"Moving head jalan nggak mulus, seperti tersendat sendat.",Kurang lubrikasi,jalur kotor dan kurang lubrikasi,"lubrikasi area jalur print head dengan grease OKS > test run > getaran mulai berkurang jalan printhead sudah mulai stabil > pantau > OK
",-,1/8/2019 2:45:00 PM,1/8/2019 3:15:00 PM,,,,
Fillpack B,Filling 6 Line F6L1003,PRB,AC1910-0115,menghambat,Emergency,1 Hari,Pratiknyo,done,3/8/2019 10:24:00 PM,3/8/2019 10:25:00 PM,Dudukan dust collector,"Baut ada yang lepas, minta dilas",Part rusak,-,"Lepas plat untuk dust collector >> bawa ke bengkel >> las baut yang patah pada tempat semula >> OK, tambah lasa an pada area sekelilingnya supaya lebih kuat >> OK, tinggal pasang pada mesin",-,3/9/2019 12:15:00 AM,3/9/2019 1:00:00 AM,,,,
Fillpack B,Filling 6 Line F6L1004,PRB,AC1845-0249,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,11/8/2018 8:55:00 PM,11/8/2018 8:55:00 PM,Gramasi nggak tercapai,GRAMASI TIDAK OK,Pengoperasian tidak normal,settingan gramasi berat,"cek, settingan gramasi berat >> coba lubrikasi >> settingan sudah ok tetapi gramasi line 6 kurang >> setting manual pada cup >> pantau >> ok",-,11/8/2018 9:00:00 PM,11/8/2018 10:00:00 PM,,,,
Fillpack B,Filling 6 Line F6L1002,PRB,AC1915-0153,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,4/15/2019 10:37:00 AM,4/15/2019 10:37:00 AM,Safety Doors,Safety Doors Error,Pengoperasian tidak normal,safety door tidak ok,"pada saat test running terdapat alarm "" safety door interlock front door SQ4 dan SQ3 "" >> coba buka pintu depan >> tutup kembali >> masih belum ok >> lepas safety door depan >> buka cover safety door >> bersihkan wiring dan semprot menggunakan contact cleaner >> semprot menggunakan angin >> pasang kembali safety door >> reset mesin >> test >> alarm safety door interlock sudah tidak ada >> pantau >> ok
",-,4/15/2019 10:30:00 AM,4/15/2019 11:30:00 AM,,,,
Fillpack B,Filling 6 Line F6L1002,PRB,AC1921-0092,menghambat,Emergency,1 Hari,Admin PRB Fillpack,repaired,5/27/2019 6:58:00 AM,5/27/2019 6:58:00 AM,Jaw,Kabel Sealing Jaw Kendor,Misalignment,kabel termocouple lepas,suhu sealing jaws error >> cek wiring kabel >> kabel termocouple lepas >> pasang kembali kabel >> test >> pantau >> ok,-,5/27/2019 7:15:00 AM,5/27/2019 7:30:00 AM,,,,
Fillpack B,Filling 6 Line F6L1005,PRB,AC1848-0089,menghambat,Emergency,1 Hari,Pratiknyo,done,11/28/2018 3:03:00 PM,11/28/2018 3:03:00 PM,Gear Penahan rantai,Gear penahan rantai rusak,Part rusak,gear tension dan asnya aus,cek >> lepas gear tension >>  gear tension aus >> bawa kebengkel >. ganti gear tension >> as aus ( spare part kosong ) >> greasing as dan gear >> bawa ke produksi >> keluhan operator strip cut line 1 cuman nampak sebagian >> coba lepas pisau strip cut >> balikan pisau >> pasang strip cut >> setting sedikit press stripcut >> tes jalan strip cut only >> ok >>pasang gear tension >> kencangkan >> pasang air regulator >> tes jalan >> ok >> stripcut juga ok,-,11/28/2018 3:00:00 PM,11/28/2018 4:00:00 PM,,,,
Fillpack B,Filling 6 Line F6L1005,PRB,AC1903-0154,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,1/17/2019 1:06:00 PM,1/17/2019 1:06:00 PM,Cross Bar,Bearing Cross Bar Macet ,Part rusak,"bushing macet, dan sudah tergerus ",lepas pressan roller crossbar > bawa unit ke bengkel > ganti bushing 2 pcs dan bearing 4 pcs > rakit pada pressan > pasang unit pada mesin > setting pressan crossbar > test run sachet kosong > pantau > OK,-,1/17/2019 1:00:00 PM,1/17/2019 2:00:00 PM,,,,
Fillpack B,Filling 6 Line F6L1005,PRB,AC1904-0147,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,1/25/2019 8:03:00 AM,1/25/2019 8:04:00 AM,HEATER,heater jaw suhunya tidak rata..,Part tidak sesuai,baut as untuk saluran grease patah,"lepas wiring heater >> lepas blok pengunci sealer pada blok mekanik depan >> cek heater dan thermocouple sealing jaws >> tahanan heater masih OK, ketika blok mekanik depan dilepas, saluran greasing patah bautnya >> bawa ke bengkel beserta bloknya >>istirahat dan jumatan >> las >> ketika di bor, bautnya meleset, lanjut shift berikut >> bor as untuk greasing dan pasang drat dengan cara di las pada bagian as >> pasang pengunci cross bar >> pasang pressan roller crossbar >> wiring kembali heater dan thermocouple crossbar >> test run >> tampilan suhu pada HMI naik turun >> terpotong waktu istirahat >> lanjut >> cek wiring >> kencangkan wiring >> tukar kabel thermocouple >> test run >> suhu ok >> pasang roll film dan chute >> setting pressan roller crossbar >> test produk bocor dengan vacuum tester >> OK",menjaga kebersihan mesin,1/25/2019 9:00:00 AM,1/25/2019 8:45:00 PM,,,,
Fillpack B,Filling 6 Line F6L1005,PRB,AC1914-0040,menghambat,Emergency,1 Hari,Purwanti,done,4/2/2019 9:00:00 AM,4/2/2019 9:00:00 AM,Head printer,Pergerakan head printer tidak bisa bolak balik,Pengoperasian tidak normal,printer hasilnya terbalik,setting sensor beberapa kali >> masih belum ok >> setting parameter pada HMI untuk printer hasil printer sudah ok tidak terbalik >> kepotong istirahat >> pada saat di test hasil printer tidak adaan  >> setting kembali sensor beberapa kali >> masih belum ok >> setting ulang parameter masih belum ok >> ternyata pada printer imajenya ada yang belum di on kan >> on kan printer imaje >> test >> ok,-,4/2/2019 10:15:00 AM,4/2/2019 4:00:00 PM,,,,
